question,location,intent,
"What is the Cash Flow from Investing activities for Apple in 2015?, What is the cash flow from investing activities for Apple in 2015?, What is the Cash Flow from Investing activities for Apple Inc. in the year 2015?What is the Cash Flow from Investing activities for Apple Inc. in the year 2015?",fun_detail,Cash Flow from Investing,
"What is the Cash Flow from Financial Activities for Apple in 2015?, What is the cash flow from investing activities for Apple in 2015?,What is the Cash Flow from Financial Activities for Apple Inc. in the year 2015?",fun_detail,Cash Flow from Financial Activities,
"What is the Return on Equity (ROE) for Apple in 2015?,What is the return on equity for Apple in 2015?, What is the Return on Equity (ROE) for Apple Inc. in the year 2015?, How does Apple's return on equity compare to its industry average in 2015?",fun_detail,ROE,
"What is the Return on Assets (ROA) for Apple in 2015?, What is the return on assets for Apple in 2015?,What is the Return on Assets (ROA) for Apple Inc. in the year 2015?",fun_detail,ROA,
"What is the Return on Investment (ROI) for Apple in 2015?, What is the return on investment for Apple in 2015?, What is the Return on Investment (ROI) for Apple Inc. in the year 2015?",fun_detail,ROI,
What is the Return on Tangible Equity for Apple in 2015?,fun_detail,Return on Tangible Equity,
"What is the Shareholder Equity of Apple in 2015?, What is the Shareholder Equity of Apple Inc. in the year 2015?",fun_detail,Share Holder Equity,
"What is the Free Cash Flow per Share for Apple in 2015?, What is the Free Cash Flow per Share for Apple Inc. in the year 2015?",fun_detail,Free Cash Flow per Share,
"What is the return on tangible equity for Apple in 2015?, What is the Return on Tangible Equity for Apple Inc. in the year 2015?",fun_detail,Return on Tangible Equity,
I would like to know the earnings per share (EPS) for Apple Inc. in the fiscal year 2020.,fun_detail,Earning Per Share,
"What is the next five years revenue of the Apple?, What is the projected revenue for Apple in the upcoming years?, Can you provide an outlook on Apple's revenue for the coming years?, How do analysts foresee Apple's revenue evolving in the years ahead?, Are there any estimates on Apple's revenue trajectory for the near future?, What is the expected revenue trend for Apple in the upcoming years?",fun_predict,Revenue,
"What is the projected gross profit for Apple in the upcoming years, can you provide an outlook on Apple's gross profit for the coming years, how do analysts foresee Apple's gross profit evolving in the years ahead, are there any estimates on Apple's gross profit trajectory for the near future, what is the expected gross profit trend for Apple in the upcoming years?",fun_predict,Gross Profit,
"What is the projected market capitalization for Apple in the upcoming years, can you provide an outlook on Apple's market capitalization for the coming years, how do analysts foresee Apple's market capitalization evolving in the years ahead, are there any estimates on Apple's market capitalization trajectory for the near future, what is the expected market capitalization trend for Apple in the upcoming years?",fun_predict,Market Cap,
"What is the projected net income for Apple in the upcoming years, can you provide an outlook on Apple's net income for the coming years, how do analysts foresee Apple's net income evolving in the years ahead, are there any estimates on Apple's net income trajectory for the near future, what is the expected net income trend for Apple in the upcoming years?",fun_predict,Net Income,
"What is the projected earnings per share for Apple in the upcoming years, can you provide an outlook on Apple's earnings per share for the coming years, how do analysts foresee Apple's earnings per share evolving in the years ahead, are there any estimates on Apple's earnings per share trajectory for the near future, what is the expected earnings per share trend for Apple in the upcoming years?",fun_predict,Earning Per Share,
"What is the projected current ratio for Apple in the upcoming years, can you provide an outlook on Apple's current ratio for the coming years, how do analysts foresee Apple's current ratio evolving in the years ahead, are there any estimates on Apple's current ratio trajectory for the near future, what is the expected current ratio trend for Apple in the upcoming years?",fun_predict,Current Ratio,
"What is the projected debt-to-equity ratio for Apple in the upcoming years, can you provide an outlook on Apple's debt-to-equity ratio for the coming years, how do analysts foresee Apple's debt-to-equity ratio evolving in the years ahead, are there any estimates on Apple's debt-to-equity ratio trajectory for the near future, what is the expected debt-to-equity ratio trend for Apple in the upcoming years?",fun_predict,Debt Or Equity Ratio,
"What is the projected net profit margin for Apple in the upcoming years, can you provide an outlook on Apple's net profit margin for the coming years, how do analysts foresee Apple's net profit margin evolving in the years ahead, are there any estimates on Apple's net profit margin trajectory for the near future, what is the expected net profit margin trend for Apple in the upcoming years?",fun_predict,Net Profit Margin,
"What is the projected inflation rate in the US for the upcoming years according to Apple, can you provide an outlook on the inflation rate in the US for the coming years according to Apple, how does Apple foresee the inflation rate in the US evolving in the years ahead, are there any estimates on the inflation rate trajectory in the US for the near future according to Apple, what is the expected inflation rate trend in the US for the upcoming years according to Apple?",fun_predict,Inflation Rate(in US),
"What is the projected EBITDA for Apple in the upcoming years, can you provide an outlook on Apple's Earnings Before Interest, Taxes, Depreciation, and Amortization for the coming years, how do analysts foresee Apple's EBITDA evolving in the years ahead, are there any estimates on Apple's EBITDA trajectory for the near future, what is the expected EBITDA trend for Apple in the upcoming years?",fun_predict,EBITDA,
"What is the projected cash flow from operating activities for Apple in the upcoming years, can you provide an outlook on Apple's cash flow from operating activities for the coming years, how do analysts foresee Apple's cash flow from operating activities evolving in the years ahead, are there any estimates on Apple's cash flow from operating activities trajectory for the near future, what is the expected cash flow from operating activities trend for Apple in the upcoming years?",fun_predict,Cash Flow from Operating,
"What is the projected cash flow from investing activities for Apple in the upcoming years, can you provide an outlook on Apple's cash flow from investing activities for the coming years, how do analysts foresee Apple's cash flow from investing activities evolving in the years ahead, are there any estimates on Apple's cash flow from investing activities trajectory for the near future, what is the expected cash flow from investing activities trend for Apple in the upcoming years?",fun_predict,Cash Flow from Investing,
"What is the projected cash flow from financial activities for Apple in the upcoming years, can you provide an outlook on Apple's cash flow from financial activities for the coming years, how do analysts foresee Apple's cash flow from financial activities evolving in the years ahead, are there any estimates on Apple's cash flow from financial activities trajectory for the near future, what is the expected cash flow from financial activities trend for Apple in the upcoming years?",fun_predict,Cash Flow from Financial Activities,
"What is the projected return on equity ( ROE ) for Apple in the upcoming years, can you provide an outlook on Apple's return on equity for the coming years, how do analysts foresee Apple's return on equity evolving in the years ahead, are there any estimates on Apple's return on equity trajectory for the near future, what is the expected return on equity trend for Apple in the upcoming years?",fun_predict,ROE,
"What is the projected return (ROA) on assets for Apple in the upcoming years, can you provide an outlook on Apple's return on assets for the coming years, how do analysts foresee Apple's return on assets evolving in the years ahead, are there any estimates on Apple's return on assets trajectory for the near future, what is the expected return on assets trend for Apple in the upcoming years?",fun_predict,ROA,
"What is the projected return on investment (ROI) for Apple in the upcoming years, can you provide an outlook on Apple's return on investment for the coming years, how do analysts foresee Apple's return on investment evolving in the years ahead, are there any estimates on Apple's return on investment trajectory for the near future, what is the expected return on investment trend for Apple in the upcoming years?",fun_predict,ROI,
"What is the projected return on tangible equity for Apple in the upcoming years, can you provide an outlook on Apple's return on tangible equity for the coming years, how do analysts foresee Apple's return on tangible equity evolving in the years ahead, are there any estimates on Apple's return on tangible equity trajectory for the near future, what is the expected return on tangible equity trend for Apple in the upcoming years?",fun_predict,Return on Tangible Equity,
"What is the projected shareholder equity for Apple in the upcoming years, can you provide an outlook on Apple's shareholder equity for the coming years, how do analysts foresee Apple's shareholder equity evolving in the years ahead, are there any estimates on Apple's shareholder equity trajectory for the near future, what is the expected shareholder equity trend for Apple in the upcoming years?",fun_predict,Share Holder Equity,
"What is the projected free cash flow per share for Apple in the upcoming years, can you provide an outlook on Apple's free cash flow per share for the coming years, how do analysts foresee Apple's free cash flow per share evolving in the years ahead, are there any estimates on Apple's free cash flow per share trajectory for the near future, what is the expected free cash flow per share trend for Apple in the upcoming years?",fun_predict,Free Cash Flow per Share,
"How does the revenue of Apple compare to Microsoft over the past few years, can you provide a comparison of the revenue trends between Apple and Microsoft in recent years, what is the revenue difference between Apple and Microsoft over the past few years, how has the revenue growth of Apple compared to Microsoft over the past few years, are there any notable differences in revenue performance between Apple and Microsoft over the past few years, can you compare the revenue figures of Apple and Microsoft over the past few years, how do the revenue trajectories of Apple and Microsoft differ over the past few years, what is the revenue gap between Apple and Microsoft over the past few years, could you provide a revenue analysis comparing Apple and Microsoft over the past few years, how has the revenue trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Revenue,
"How does the gross profit of Apple compare to Microsoft over the past few years, can you provide a comparison of the gross profit trends between Apple and Microsoft in recent years, what is the gross profit difference between Apple and Microsoft over the past few years, how has the gross profit growth of Apple compared to Microsoft over the past few years, are there any notable differences in gross profit performance between Apple and Microsoft over the past few years, can you compare the gross profit figures of Apple and Microsoft over the past few years, how do the gross profit trajectories of Apple and Microsoft differ over the past few years, what is the gross profit gap between Apple and Microsoft over the past few years, could you provide a gross profit analysis comparing Apple and Microsoft over the past few years, how has the gross profit trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Gross Profit,
"How does the market cap of Apple compare to Microsoft over the past few years, can you provide a comparison of the market cap trends between Apple and Microsoft in recent years, what is the market cap difference between Apple and Microsoft over the past few years, how has the market cap growth of Apple compared to Microsoft over the past few years, are there any notable differences in market cap performance between Apple and Microsoft over the past few years, can you compare the market cap figures of Apple and Microsoft over the past few years, how do the market cap trajectories of Apple and Microsoft differ over the past few years, what is the market cap gap between Apple and Microsoft over the past few years, could you provide a market cap analysis comparing Apple and Microsoft over the past few years, how has the market cap trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Market Cap,
"What is the net income comparison between Apple and Microsoft over the past few years, can you provide a comparison of the net income trends between Apple and Microsoft in recent years, how does the net income of Apple compare to Microsoft over the past few years, how has the net income growth of Apple compared to Microsoft over the past few years, are there any notable differences in net income performance between Apple and Microsoft over the past few years, can you compare the net income figures of Apple and Microsoft over the past few years, how do the net income trajectories of Apple and Microsoft differ over the past few years, what is the net income gap between Apple and Microsoft over the past few years, could you provide a net income analysis comparing Apple and Microsoft over the past few years, how has the net income trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Net Income,
"What is the earnings per share comparison between Apple and Microsoft over the past few years, can you provide a comparison of the earnings per share trends between Apple and Microsoft in recent years, how does the earnings per share of Apple compare to Microsoft over the past few years, how has the earnings per share growth of Apple compared to Microsoft over the past few years, are there any notable differences in earnings per share performance between Apple and Microsoft over the past few years, can you compare the earnings per share figures of Apple and Microsoft over the past few years, how do the earnings per share trajectories of Apple and Microsoft differ over the past few years, what is the earnings per share gap between Apple and Microsoft over the past few years, could you provide an earnings per share analysis comparing Apple and Microsoft over the past few years, how has the earnings per share trend for Apple compared to Microsoft's trend over the past few years?
",fun_comparative,Earning Per Share,
"How does the current ratio of Apple compare to Microsoft over the past few years, can you provide a comparison of the current ratio trends between Apple and Microsoft in recent years, what is the current ratio difference between Apple and Microsoft over the past few years, how has the current ratio of Apple compared to Microsoft over the past few years, are there any notable differences in current ratio performance between Apple and Microsoft over the past few years, can you compare the current ratio figures of Apple and Microsoft over the past few years, how do the current ratio trajectories of Apple and Microsoft differ over the past few years, what is the current ratio gap between Apple and Microsoft over the past few years, could you provide a current ratio analysis comparing Apple and Microsoft over the past few years, how has the current ratio trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Current Ratio,
"How does the debt to equity ratio of Apple compare to Microsoft over the past few years, can you provide a comparison of the debt-to-equity ratio trends between Apple and Microsoft in recent years, what is the debt-to-equity ratio difference between Apple and Microsoft over the past few years, how has the debt-to-equity ratio of Apple compared to Microsoft over the past few years, are there any notable differences in debt-to-equity ratio performance between Apple and Microsoft over the past few years, can you compare the debt-to-equity ratio figures of Apple and Microsoft over the past few years, how do the debt-to-equity ratio trajectories of Apple and Microsoft differ over the past few years, what is the debt-to-equity ratio gap between Apple and Microsoft?",fun_comparative,Debtor Equity Ratio,
"How does the net profit margin of Apple compare to Microsoft over the past few years, can you provide a comparison of the net profit margin trends between Apple and Microsoft in recent years, what is the net profit margin difference between Apple and Microsoft over the past few years, how has the net profit margin of Apple compared to Microsoft over the past few years, are there any notable differences in net profit margin performance between Apple and Microsoft over the past few years, can you compare the net profit margin figures of Apple and Microsoft over the past few years, how do the net profit margin trajectories of Apple and Microsoft differ over the past few years, what is the net profit margin gap between Apple and Microsoft over the past few years, could you provide a net profit margin analysis comparing Apple and Microsoft over the past few years, how has the net profit margin trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Net Profit Margin,
"What is the inflation rate comparison between Apple and Microsoft over the past few years, can you provide a comparison of the inflation rate trends between Apple and Microsoft in recent years, how does the inflation rate of Apple compare to Microsoft over the past few years, how has the inflation rate of Apple compared to Microsoft over the past few years, are there any notable differences in inflation rate performance between Apple and Microsoft over the past few years, can you compare the inflation rate figures of Apple and Microsoft over the past few years, how do the inflation rate trajectories of Apple and Microsoft differ over the past few years, what is the inflation rate gap between Apple and Microsoft over the past few years, could you provide an inflation rate analysis comparing Apple and Microsoft over the past few years, how has the inflation rate trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Inflation Rate(in US),
"How does the EBITDA of Apple compare to Microsoft over the past few years, can you provide a comparison of the EBITDA trends between Apple and Microsoft in recent years, what is the EBITDA difference between Apple and Microsoft over the past few years, how has the EBITDA of Apple compared to Microsoft over the past few years, are there any notable differences in EBITDA performance between Apple and Microsoft over the past few years, can you compare the EBITDA figures of Apple and Microsoft over the past few years, how do the EBITDA trajectories of Apple and Microsoft differ over the past few years, what is the EBITDA gap between Apple and Microsoft over the past few years, could you provide an EBITDA analysis comparing Apple and Microsoft over the past few years, how has the EBITDA trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,EBITDA,
"How does the cash flow from operating activities of Apple compare to Microsoft over the past few years, can you provide a comparison of the cash flow from operating activities trends between Apple and Microsoft in recent years, what is the cash flow from operating activities difference between Apple and Microsoft over the past few years, how has the cash flow from operating activities of Apple compared to Microsoft over the past few years, are there any notable differences in cash flow from operating activities performance between Apple and Microsoft over the past few years, can you compare the cash flow from operating activities figures of Apple and Microsoft over the past few years, how do the cash flow from operating activities trajectories of Apple and Microsoft differ over the past few years, what is the cash flow from operating activities gap between Apple and Microsoft over the past few years, could you provide a cash flow from operating activities analysis comparing Apple and Microsoft over the past few years, how has the cash flow from operating activities trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Cash Flow from Operating,
"How does the cash flow from investing activities of Apple compare to Microsoft over the past few years, can you provide a comparison of the cash flow from investing activities trends between Apple and Microsoft in recent years, what is the cash flow from investing activities difference between Apple and Microsoft over the past few years, how has the cash flow from investing activities of Apple compared to Microsoft over the past few years, are there any notable differences in cash flow from investing activities performance between Apple and Microsoft over the past few years, can you compare the cash flow from investing activities figures of Apple and Microsoft over the past few years, how do the cash flow from investing activities trajectories of Apple and Microsoft differ over the past few years, what is the cash flow from investing activities gap between Apple and Microsoft over the past few years, could you provide a cash flow from investing activities analysis comparing Apple and Microsoft over the past few years, how has the cash flow from investing activities trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Cash Flow from Investing,
"How does the cash flow from financial activities of Apple compare to Microsoft over the past few years, can you provide a comparison of the cash flow from financial activities trends between Apple and Microsoft in recent years, what is the cash flow from financial activities difference between Apple and Microsoft over the past few years, how has the cash flow from financial activities of Apple compared to Microsoft over the past few years, are there any notable differences in cash flow from financial activities performance between Apple and Microsoft over the past few years, can you compare the cash flow from financial activities figures of Apple and Microsoft over the past few years, how do the cash flow from financial activities trajectories of Apple and Microsoft differ over the past few years, what is the cash flow from financial activities gap between Apple and Microsoft over the past few years, could you provide a cash flow from financial activities analysis comparing Apple and Microsoft over the past few years, how has the cash flow from financial activities trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Cash Flow from Financial Activities,
"How does the return on equity(ROE) of Apple compare to Microsoft over the past few years, can you provide a comparison of the return on equity(ROE) trends between Apple and Microsoft in recent years, what is the return on equity difference between Apple and Microsoft over the past few years, how has the return on equity of Apple compared to Microsoft over the past few years, are there any notable differences in return on equity (ROE)performance between Apple and Microsoft over the past few years, can you compare the return on equity(ROE) figures of Apple and Microsoft over the past few years, how do the return on equity(ROE) trajectories of Apple and Microsoft differ over the past few years, what is the return on equity(ROE) gap between Apple and Microsoft over the past few years, could you provide a return on equity (ROE)analysis comparing Apple and Microsoft over the past few years, how has the return on equity trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,ROE,
"How does the return on assets(ROA) of Apple compare to Microsoft over the past few years, can you provide a comparison of the return on assets (ROA) trends between Apple and Microsoft in recent years, what is the return on assets(ROA) difference between Apple and Microsoft over the past few years, how has the return on assets(ROA) of Apple compared to Microsoft over the past few years, are there any notable differences in return on assets(ROA) performance between Apple and Microsoft over the past few years, can you compare the return on asset(ROA)s figures of Apple and Microsoft over the past few years, how do the return on assets trajectories of Apple and Microsoft differ over the past few years, what is the return on asset(ROA)s gap between Apple and Microsoft over the past few years, could you provide a return on assets(ROA)?",fun_comparative,ROA,
"How does the return on investment(ROI) of Apple compare to Microsoft over the past few years, can you provide a comparison of the return on investment(ROI) trends between Apple and Microsoft in recent years, what is the return on investment(ROI) difference between Apple and Microsoft over the past few years, how has the return on investment(ROI) of Apple compared to Microsoft over the past few years, are there any notable differences in return on investment(ROI) performance between Apple and Microsoft over the past few years, can you compare the return on investment(ROI) figures of Apple and Microsoft over the past few years, how do the return on investment(ROI) trajectories of Apple and Microsoft differ over the past few years, what is the return on investment(ROI) gap between Apple and Microsoft over the past few years, could you provide a return on investment analysis comparing Apple and Microsoft over the past few years, how has the return on investment(ROI) trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,ROI,
"How does the return on tangible equity of Apple compare to Microsoft over the past few years, can you provide a comparison of the return on tangible equity trends between Apple and Microsoft in recent years, what is the return on tangible equity difference between Apple and Microsoft over the past few years, how has the return on tangible equity of Apple compared to Microsoft over the past few years, are there any notable differences in return on tangible equity performance between Apple and Microsoft over the past few years, can you compare the return on tangible equity figures of Apple and Microsoft over the past few years, how do the return on tangible equity trajectories of Apple and Microsoft differ over the past few years, what is the return on tangible equity gap between Apple and Microsoft over the past few years, could you provide a return on tangible equity analysis comparing Apple and Microsoft over the past few years, how has the return on tangible equity trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Return on Tangible Equity,
"How does the shareholder equity of Apple compare to Microsoft over the past few years, can you provide a comparison of the shareholder equity trends between Apple and Microsoft in recent years, what is the shareholder equity difference between Apple and Microsoft over the past few years, how has the shareholder equity of Apple compared to Microsoft over the past few years, are there any notable differences in shareholder equity performance between Apple and Microsoft over the past few years, can you compare the shareholder equity figures of Apple and Microsoft over the past few years, how do the shareholder equity trajectories of Apple and Microsoft differ over the past few years, what is the shareholder equity gap between Apple and Microsoft over the past few years, could you provide a shareholder equity analysis comparing Apple and Microsoft over the past few years, how has the shareholder equity trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Share Holder Equity,
"How does the free cash flow per share of Apple compare to Microsoft over the past few years, can you provide a comparison of the free cash flow per share trends between Apple and Microsoft in recent years, what is the free cash flow per share difference between Apple and Microsoft over the past few years, how has the free cash flow per share of Apple compared to Microsoft over the past few years, are there any notable differences in free cash flow per share performance between Apple and Microsoft over the past few years, can you compare the free cash flow per share figures of Apple and Microsoft over the past few years, how do the free cash flow per share trajectories of Apple and Microsoft differ over the past few years, what is the free cash flow per share gap between Apple and Microsoft over the past few years, could you provide a free cash flow per share analysis comparing Apple and Microsoft over the past few years, how has the free cash flow per share trend for Apple compared to Microsoft's trend over the past few years?",fun_comparative,Free Cash Flow per Share,
"What is the stock valuation of the Apple in 2010?, How was Apple's stock price performance in 2010 ?",fun_stock,stock,
What is the risk of Apple in  2010?,fun_risk,risk Analyst,
"Capital budgeting analysis for Apple in the year 2019?, How did Apple finance its capital expenditures in 2019?,  What were the major capital expenditures for Apple in 2019?, How did Apple prioritize its capital projects in 2019?",fun_capital,Capital budgeting,
"Should I invest in Apple?, Is Apple a good investment option?, What is the long-term outlook for Apple's stock?, What are analysts' recommendations regarding investment in Apple?,  What are analysts' recommendations regarding investment in Apple?",fun_invest,Invesment,
